currentSecond, requestsSent, averageResponse, Timeouts, TotalBytes, Total403and404, Responses
0,162,1672.38,0,2349500,12,"[200,403]"
1,198,2008.96,7,2114230,52,"[200,404,403,0]"
2,65,327.23,0,287641,43,"[200,403,404]"
3,319,1540.6,0,4196586,52,"[200,403,404]"
4,96,1333.23,0,338801,74,"[404,200,403]"
5,65,1677.69,0,231626,49,"[404,200,403]"
6,54,411.55,0,312319,32,"[404,200,403]"
7,42,833.47,0,244065,23,"[200,403]"
8,81,1223.33,0,602327,45,"[404,200,403]"
9,108,2151.39,0,351496,85,"[404,200,403]"
10,143,696.71,0,490411,112,"[404,200,403]"
11,191,2070.68,0,2527788,30,"[404,200,403]"
12,308,1263.51,0,3664133,71,"[404,200,403]"
13,160,749.51,0,1988429,41,"[200,404,403]"
14,96,1159.54,0,1082200,31,"[200,404,403]"
15,96,2780.83,0,965816,38,"[404,200,403]"
16,205,2366.36,0,2176070,45,"[200,403]"
17,324,1665.57,0,4714085,32,"[200,403,404]"
18,252,1679.52,0,3115782,54,"[200,404,403]"
19,179,1383.36,0,2094595,32,"[200,403]"
20,163,1985.87,0,1688098,44,"[200,403,404]"
21,84,241.57,0,756304,30,"[200,404,403]"
22,39,216.14,0,181590,25,"[404,200,403]"
23,147,3043.15,0,1476695,29,"[200,403,404]"
24,150,1621.73,0,1645197,40,"[404,200,403]"
25,223,823.77,0,2730040,43,"[404,200,403]"
26,195,2718.77,0,2549404,29,"[404,200,403]"
27,95,596.21,0,874982,34,"[404,200,403]"
28,334,1055.83,0,4213881,57,"[404,200,403]"
29,66,519.09,0,292415,44,"[404,200,403]"
30,36,223.85,0,245305,16,"[404,200,403]"
