currentSecond, requestsSent, averageResponse, Timeouts, TotalBytes, Total403and404, Responses
0,78,747.15,0,1203104,0,"[200]"
1,185,578.65,0,2953587,0,"[200]"
2,49,164,0,297820,23,"[404,200]"
3,12,152.09,0,144287,1,"[404,200]"
4,22,151.09,0,131328,11,"[404,200]"
5,89,271.25,0,1131514,14,"[404,200]"
6,93,260.75,0,1476546,1,"[200,404]"
