currentSecond, requestsSent, averageResponse, Timeouts, TotalBytes, Total403and404, Responses
0,381,2659.44,1,4679487,77,"[404,200,403,0]"
1,553,6266.06,75,4414093,189,"[404,200,403,0]"
2,316,5954.83,5,1498085,213,"[404,200,403,0]"
3,791,6598.61,56,8497527,204,"[404,200,403,0]"
4,699,8230.5,114,6911022,135,"[200,403,404,0]"
5,673,8471.13,133,6217995,119,"[200,404,403,0]"
6,692,7554.16,66,7317185,127,"[404,200,403,0]"
7,569,7250.82,33,5569227,161,"[404,200,403,0]"
8,2,6464.5,0,36291,0,"[200]"
